,country,cdn,values
317,AE,akamai,129.938175
318,AE,akamai,130.62579
319,AE,akamai,131.147265
320,AE,akamai,142.85443
321,AE,akamai,141.98188
322,AE,akamai,146.8887
323,AE,akamai,260.702965
324,AE,akamai,256.219295
325,AE,akamai,257.786415
326,AE,akamai,130.620295
327,AE,akamai,130.58675
328,AE,akamai,131.11407
329,AE,akamai,269.25035
330,AE,akamai,255.684665
331,AE,akamai,131.033795
332,AE,akamai,130.383525
333,AE,akamai,130.161205
334,AE,akamai,141.381215
335,AE,akamai,140.511905
336,AE,akamai,140.878045
337,AE,akamai,130.34755
338,AE,akamai,130.094095
339,AE,akamai,130.21978
340,AE,akamai,254.33047
341,AE,akamai,253.436195
342,AE,akamai,210.93756
343,AE,akamai,147.15301
344,AE,akamai,180.262305
345,AE,akamai,137.56897
346,AE,akamai,136.58806
347,AE,akamai,138.041455
348,AE,akamai,133.795025
349,AE,akamai,133.424635
350,AE,akamai,134.143035
351,AE,akamai,137.69819
352,AE,akamai,137.227115
353,AE,akamai,137.608195
354,AE,akamai,130.79845
355,AE,akamai,130.61416
356,AE,akamai,130.02373
357,AE,akamai,138.497995
358,AE,akamai,136.83982
359,AE,akamai,136.67285
360,AE,akamai,127.979495
361,AE,akamai,127.789365
362,AE,akamai,127.660405
363,AE,akamai,137.333495
364,AE,akamai,136.714775
365,AE,akamai,136.41551
366,AE,akamai,128.749525
367,AE,akamai,127.90643
368,AE,akamai,127.900295
369,AE,akamai,128.099235
370,AE,akamai,128.141745
371,AE,akamai,128.09244
372,AE,akamai,137.759835
373,AE,akamai,136.59384
374,AE,akamai,136.92511
375,AE,akamai,138.91736
376,AE,akamai,137.86854
377,AE,akamai,138.043145
378,AE,akamai,128.49982
379,AE,akamai,128.54369
380,AE,akamai,137.111335
381,AE,akamai,136.409125
382,AE,akamai,136.445415
383,AE,akamai,127.77801
384,AE,akamai,128.3896
385,AE,akamai,128.140785
386,AE,akamai,137.296275
387,AE,akamai,136.600155
388,AE,akamai,136.29497
389,AE,akamai,127.846005
390,AE,akamai,127.691285
391,AE,akamai,127.771245
392,AE,akamai,137.738465
393,AE,akamai,136.959735
394,AE,akamai,127.96581
395,AE,akamai,127.803875
396,AE,akamai,128.529175
397,AE,akamai,128.56266
398,AE,akamai,128.589045
399,AE,akamai,128.459735
400,AE,akamai,137.84152
401,AE,akamai,137.689215
402,AE,akamai,137.147855
403,AE,akamai,136.73138
404,AE,akamai,136.723555
405,AE,akamai,136.401625
406,AE,akamai,128.50213
407,AE,akamai,127.85737
408,AE,akamai,128.44969
409,AE,akamai,136.59618
410,AE,akamai,136.672865
411,AE,akamai,136.44361
412,AE,akamai,128.1021
413,AE,akamai,128.063195
414,AE,akamai,127.926065
415,AE,akamai,137.538505
416,AE,akamai,136.937885
417,AE,akamai,136.75866
418,AE,akamai,129.64297
419,AE,akamai,127.75608
420,AE,akamai,127.94302
421,AE,akamai,137.246555
422,AE,akamai,137.379605
423,AE,akamai,136.574125
424,AE,akamai,129.28058
425,AE,akamai,128.244435
426,AE,akamai,128.701015
427,AE,akamai,136.717815
428,AE,akamai,136.88746
429,AE,akamai,136.606065
430,AE,akamai,128.047585
431,AE,akamai,127.828315
432,AE,akamai,127.93794
433,AE,akamai,137.4514
434,AE,akamai,136.8217
435,AE,akamai,137.10116
436,AE,akamai,127.97709
437,AE,akamai,128.33258
438,AE,akamai,127.73107
439,AE,akamai,138.36008
440,AE,akamai,137.27975
441,AE,akamai,128.625255
442,AE,akamai,127.892075
443,AE,akamai,128.276895
444,AE,akamai,128.882965
445,AE,akamai,127.65302
446,AE,akamai,127.61492
447,AE,akamai,137.09672
448,AE,akamai,137.09606
449,AE,akamai,137.07121
450,AE,akamai,127.85053
451,AE,akamai,127.764945
452,AE,akamai,127.788785
453,AE,akamai,137.231255
454,AE,akamai,136.78983
455,AE,akamai,136.53385
456,AE,akamai,136.92496
457,AE,akamai,137.004635
458,AE,akamai,137.2207
459,AE,akamai,128.536505
460,AE,akamai,128.0438
461,AE,akamai,127.81126
462,AE,akamai,138.54556
463,AE,akamai,137.294395
